"Class_1","Class_2","model"
-4.3017821998114,-5.8293311347423,-4.72485782359616
-16.3355971050714,-15.9173908882044,-16.0599914557689
-13.4740754091278,-9.0586400384246,-9.48595575765654
-6.47437047877932,-4.88140072928016,-5.07276204565572
-13.9148157409783,-6.73215340543481,-7.00333243216692
-25.6062352353276,-27.5362956878961,-26.6164009384931
-9.50943583899845,-16.0737797099977,-11.5166993651426
-60.2947704589456,-34.4177008307087,-35.5631003150368
-6.13404271624581,-5.66046776150617,-5.78347964529973
-11.4434477676451,-20.6225139561314,-12.6461372395023
-43.2427948063464,-58.7867873094002,-47.7712887132977
-7.54002646899283,-16.6627295667246,-9.30340799041547
-3.36528828277229,-5.11915150360295,-3.7623622734477
-62.7334980212325,-29.8718016189859,-31.2297528517469
-63.8000505631312,-27.9323580279243,-28.9233431487717
-36.3129802426045,-30.9298478115181,-31.8571424165243
-3.14388322036808,-5.84669352603359,-3.56042211070699
-129.951658154655,-58.2208641359635,-60.1892180007302
-96.856581164067,-49.6450469427889,-51.0030169335498
-2.72598605000187,-3.36582620198046,-2.94521085855675
-2.66307075118294,-2.82382915200025,-2.7499242253348
-13.3802970280955,-29.9021289466364,-15.0449089310747
-19.4678056450583,-16.6647361714923,-17.1834769332142
-38.4345231656408,-41.1894835677895,-39.9682715417818
-6.14788019555067,-14.3736691709644,-7.45765263865497
-14.7529374928872,-18.9311049206516,-15.9712666396796
-2.73002135460197,-4.73120544170865,-3.13160542483545
-21.0003259310978,-16.4422984957883,-16.9187741178021
